hashtag,community_id,community_size,weighted_degree
outfit,0,9,358
style,0,9,344
fashion,0,9,343
ootd,0,9,330
model,0,9,322
beauty,0,9,311
streetstyle,0,9,265
like4like,0,9,232
life,0,9,198
training,1,8,357
motivation,1,8,338
workout,1,8,323
fitness,1,8,317
gym,1,8,301
health,1,8,273
fitfam,1,8,272
happy,1,8,183
travel,2,8,325
photography,2,8,324
wanderlust,2,8,322
adventure,2,8,316
vacation,2,8,305
explore,2,8,293
nature,2,8,285
love,2,8,135
gallery,3,9,365
artist,3,9,339
drawing,3,9,335
creative,3,9,332
design,3,9,325
art,3,9,312
illustration,3,9,305
photooftheday,3,9,174
followme,3,9,138
foodie,4,7,351
instafood,4,7,327
homemade,4,7,297
foodporn,4,7,296
chef,4,7,292
delicious,4,7,281
yummy,4,7,263
developer,5,8,356
ai,5,8,350
tech,5,8,345
software,5,8,327
innovation,5,8,320
startup,5,8,312
coding,5,8,296
instagood,5,8,200
