hashtag,community_id,weighted_degree,betweenness,eigenvector,avg_likes
gallery,3,365,0.005688534278959811,0.1725931947004429,968.8687867046074
outfit,0,358,0.007109436564223797,0.16693454951410433,940.1624143591207
training,1,357,0.010541546567047191,0.16509399655847012,916.6621994481671
developer,5,356,0.019202140075888514,0.17229747082298072,967.0529692082112
foodie,4,351,0.0064346926713948,0.1554983026701202,956.5429279031371
ai,5,350,0.001536643026004728,0.17034581834539658,968.5982758620689
tech,5,345,0.010291510221109718,0.16533011762113314,973.6060045686936
style,0,344,0.006316686893971,0.16515242740313482,1030.8204175513092
fashion,0,343,0.010416666666666664,0.16078997603408113,930.0581114423769
artist,3,339,0.019628849283104606,0.16143590364278398,922.9458664313033
motivation,1,338,0.00557033096926714,0.15636254185006349,970.6891304347826
drawing,3,335,0.008149696048632218,0.15932367701012123,966.934126984127
creative,3,332,0.005127068557919621,0.15781719485784443,916.7982117455801
ootd,0,330,0.0088876088797866,0.15755918716807368,999.2575388911049
software,5,327,0.007697990543735224,0.15939666222638413,965.4434634893291
instafood,4,327,0.005828900709219858,0.14606897800610524,949.8889580738896
design,3,325,0.020996918270854443,0.15266954638530886,944.215909090909
travel,2,325,0.004284869976359337,0.14870695405336645,975.6318232801596
photography,2,324,0.006849459642012832,0.15077371364254286,955.8935679865913
workout,1,323,0.006868104806934594,0.15187588226176374,878.7305900621118
wanderlust,2,322,0.011432735032547298,0.1493470924028984,968.7899954934655
model,0,322,0.0033983451536643023,0.15236997731453228,972.0396062271062
innovation,5,320,0.007454196217494089,0.15640685373956273,952.5767027863777
fitness,1,317,0.01103723404255319,0.14829717023377612,939.8824074074074
adventure,2,316,0.0008500208594075928,0.14614753678247377,945.515625
startup,5,312,0.0018764775413711583,0.15112873242318203,962.0732323232323
art,3,312,0.01483159753263007,0.14669053596394863,923.7274247491639
beauty,0,311,0.006101574253169999,0.14963310902574906,931.4884634266077
vacation,2,305,0.013293029977948626,0.1409817819675431,976.3332919871
illustration,3,305,0.004456898007429923,0.14691985178567135,969.2885989437714
gym,1,301,0.017966551277721492,0.1422698723663002,963.1146174863388
homemade,4,297,0.025723707439132968,0.13292756110047713,953.5189833558254
foodporn,4,296,0.0327138213441405,0.133263246310704,959.9278128654971
coding,5,296,0.04553294319017099,0.14421901069600573,878.010546875
explore,2,293,0.017044308858295096,0.13683579355041753,947.3763470319634
chef,4,292,0.022590283158180523,0.13186612067161826,942.1641577060932
nature,2,285,0.010270402487236027,0.13301275774963386,938.5868106215348
delicious,4,281,0.020234929078014188,0.1270684309584112,958.8400360144058
health,1,273,0.014002167060677697,0.12873368978396146,934.4345153664302
fitfam,1,272,0.0041814420803782506,0.13032692190499376,955.741402116402
streetstyle,0,265,0.025135089496791628,0.12728531244593,944.0557480635956
yummy,4,263,0.03347302815387922,0.11895465487857737,1013.5353159851301
like4like,0,232,5.214851898206091e-05,0.1137520690834108,887.1911010558069
instagood,5,200,0.000960401891252955,0.09841637264248318,912.0948508081226
life,0,198,0.0042257683215130015,0.09708831474768788,959.7376737673767
happy,1,183,0.0049370989530564,0.08978550458054003,913.9233333333333
photooftheday,3,174,0.008903242147922999,0.08551077863175675,915.7134894091416
followme,3,138,0.025052769334684227,0.06703283011579181,955.530172413793
love,2,135,0.03483455223912046,0.06602298335691434,967.6645021645022
